m-class-#	m-prop-#	m-prop-name	m-prop-title	m-prop-loc	m-prop-type	m-prop-det	m-delim-check
311.105	.01	"STUDY ID"	"Study ID"	"0;1"	"RP311.101'"	"SAMI(311.101,"	0
311.105	.05	"MOST RECENT PROCEDURE DATE"		"0;2"	"D"		0
311.105	1	"BIOPSY PERFORMED"		"0;3"	"RS"	"y:Yes;n:No;"	0
311.105	1.1	"BIOPSY DATE"	"Biopsy Date"	"0;4"	"D"		0
311.105	1.2	"BIOPSY LOCATION"	"Biopsy location"	"0;5"	"FJ30"		0
311.105	1.3	"INDICATION FOR BIOPSY"	"Indication for Biopsy"	"0;6"	"S"	"s:Size;r:No resolution after abx;g:Growth;p:Positive PET;o:Other (specify);"	0
311.105	1.4	"INDICATIONS OTHER SPECIFY"		"0;7"	"FJ30"		0
311.105	1.5	"LESION SITE"		"0;8"	"P311.10511'"	"SAMI(311.10511,"	0
311.105	1.6	"TYPE OF SPECIMEN"		"0;9"	"S"	"c:Cytology;h:Histology;"	0
311.105	1.7	"TYPE OF PROCEDURE"		"0;10"	"S"	"c:needle biopsy;b:bronchoscopy;v:VAT;t:thoracotomy;o:other;"	0
311.105	1.8	"PROCEDURE OTHER SPECIFY"		"0;11"	"FJ30"		0
311.105	2	"BIOPSY COMPLICATIONS"	"Complications during biopsy"	"0;12"	"S"	"n:none;c:Chest tube;pt:Pneumothorax;pn:Pneumonectasis;o:other;"	0
311.105	2.1	"BIOPSY COMPLICATIONS SPECIFY"	"Biopsy complications other specify"	"0;13"	"FJ30"		0
311.105	3	"BIOPSY PATHOLOGY DETAILS"		"1;0"	Wx311.10512		0
311.105	4	"MEDIASTINOSCOPY PERFORMED"		"2;1"	"S"	"n:No;y:Yes;"	0
311.105	4.1	"MEDIASTINOSCOPY LESION SITE"		"2;2"	"P311.10511'"	"SAMI(311.10511,"	0
311.105	4.2	"MEDIASTINOSCOPY DATE"		"2;3"	"D"		0
311.105	4.3	"MEDIASTINOSCOPY LOCATION"		"2;4"	"FJ30"		0
311.105	4.4	"MEDIASTINOSCOPY COMPLICATIONS"		"2;5"	"S"	"n:No;y:Yes;"	0
311.105	4.5	"MEDIASTINOSCOPY SPECIFY"		"2;6"	"FJ50"		0
311.105	5	"MOLECULAR TESTING"		"2;7"	"S"	"n:no;y:yes;"	0
311.105	5.1	"EGFR"		"2;8"	"S"	"n:Not performed;neg:Negative;pos:Positive;"	0
311.105	5.2	"K-RAS"		"2;9"	"S"	"n:Not performed;neg:Negative;pos:Positive;"	0
311.105	5.3	"ALK"		"2;10"	"S"	"n:Not performed;neg:Negative;pos:Positive;"	0
311.105	5.4	"OTHER TEST"		"2;11"	"S"	"n:Not performed;neg:Negative;pos:Positive;"	0
311.105	5.5	"OTHER TEST SPECIFY"		"2;12"	"FJ20"		0
