m-class-#	m-prop-#	m-prop-name	m-prop-title	m-prop-loc	m-prop-type	m-prop-det	m-delim-check
311.104	.01	"STUDY ID"	"Study ID"	"0;1"	"RFJ20"		0
311.104	.02	"BASELINE DATE"		"0;2"	"D"		0
311.104	1	"FOLLOWUP DATE"		"0;3"	"RD"		0
311.104	1.1	"TIME SINCE BASELINE"	"Time since baseline (months)"	"0;4"	"NJ3,0"		0
311.104	1.2	"NURSE"		"0;5"	"FJ30"		0
311.104	2	"SCREENING SCAN ORDERED"	"Annual CT scan"	"0;6"	"S"	"y:Yes;n:No;"	0
311.104	2.1	"PRACTITIONER NAME"		"0;7"	"FJ30"		0
311.104	2.2	"PRACTITIONER NPI"		"0;8"	"FJ10"		0
311.104	2.3	"SHARED DECISION MAKING"		"0;9"	"S"	"y:Yes;n:No;"	0
311.104	2.4	"REPORTED SMOKING"		"0;10"	"S"	"c:Current;f:Former;"	0
311.104	2.5	"REPORTED PACK YEARS"		"0;11"	"NJ5,2"		0
311.104	2.6	"REPORTED YEARS SINCE QUIT"		"0;12"	"NJ5,2"		0
311.104	2.7	"REPORTED ASYMPTOMATIC"		"0;13"	"S"	"n:No;y:Yes;"	0
311.104	2.8	"CLINICAL INFO"		"1;0"	Wx311.114		0
311.104	3	"ANTIBIOTICS"		"2;1"	"S"	"n:No;y:Yes;"	0
311.104	3.1	"ANTIBIOTICS WHEN"		"2;2"	"D"		0
311.104	3.2	"ANNUAL CT SCAN"		"2;3"	"S"	"n:No;y:Yes;"	0
311.104	3.3	"SECONDHAND YEAR"		"2;4"	"D"		0
311.104	3.4	"SECONDHAND IMPRECISE"		"2;5"	"S"	"a:less than 5 years ago;b:more than 5 years ago;c:more than 10 years ago;"	0
311.104	4	"SYMPTOMS"		"2;6"	"S"	"n:No;y:Yes;"	0
311.104	4.1	"SYMPTOMS SELECT"		"3;0"	"311.124S"		0
311.124	.01	"SYMPTOMS SELECT"		"0;1"	"MS"	"b:cough producing bloody material;l:unexplained weight loss;h:unexplained hoarseness;o:other (specify);"	0
311.104	4.2	"OTHER SYMPTOM SPECIFY"		"4;1"	"FJ30"		0
311.104	4.3	"SYMPTOMS TREATED"		"4;2"	"S"	"n:No;y:Yes;"	0
311.104	4.4	"SYMPTOMS CURRENT"		"4;3"	"S"	"n:No;y:Yes;"	0
311.104	4.5	"MOST RECENT CHEST CT"		"4;4"	"D"		0
311.104	4.6	"CHEST CT WHERE"		"4;5"	"FJ30"		0
311.104	5	"HOSPITALIZED"		"4;6"	"S"	"n:No;y:Yes;"	0
311.104	5.1	"HOSPITALIZED FOR WHAT"		"4;7"	"FJ30"		0
311.104	5.2	"HOSPITAL WHEN"		"4;8"	"D"		0
311.104	5.3	"HOSPITAL WHERE"		"4;9"	"FJ30"		0
311.104	6	"CANCER DIAGNOSIS"		"4;10"	"S"	"n:No;y:Yes;"	0
311.104	6.1	"CANCER WHERE"		"4;11"	"S"	"br:breast;co:colon/rectum;li:liver;lu:lung/bronchus;ov:ovary;pa:pancreas;pr:prostate;sk:skin;st:stomach;ut:uterus;os:other (specify);"	0
311.104	6.2	"CANCER WHEN"		"4;12"	"D"		0
311.104	6.3	"LUNG CANCER SURGERY"		"4;13"	"S"	"n:No;y:Yes;"	0
311.104	6.4	"LUNG SURGERY WHEN"		"4;14"	"D"		0
311.104	6.5	"LUNG SURGERY WHERE"		"4;15"	"FJ30"		0
311.104	6.6	"LUNG CANCER RECURRENCE"		"4;16"	"S"	"n:No;y:Yes;"	0
311.104	6.7	"RECURRENCE DESCRIBE"		"5;0"	Wx311.134		0
