m-class-#	m-prop-#	m-prop-name	m-prop-title	m-prop-loc	m-prop-type	m-prop-det	m-delim-check
311.11	.01	"FORM"	"FORM NAME"	"0;1"	"RF"		0
311.11	.02	"INDEXED BY"		"2;1"	"FJ20"		0
311.11	.5	"FILEMAN FILE (DEFAULT)"	"DEFAULT FILEMAN FILE FOR MAPPING"	"0;2"	"P1'"	"DIC("	0
311.11	.7	"GRAPH"	"DEFAULT GRAPH FOR INTERMEDIATE STORAGE"	"0;3"	"P17.040801"	"%wd(17.040801,"	0
311.11	1	"VARIABLE"		"1;0"	"311.11001A"		0
311.11001	.01	"VARIABLE"		"0;1"	"MFJ90"		0
311.11001	.02	"TITLE"		"0;4"	"FJ90"		0
311.11001	.5	"FILEMAN FILE"		"0;2"	"P1'"	"DIC("	0
311.11001	1	"FILEMAN FIELD"		"0;3"	"NJ17,7"		0
311.11001	2	"DATA TYPE"		"0;5"	"FJ30"		0
311.11001	3	"REQUIRED"		"0;6"	"S"	"1:YES;0:NO;"	0
311.11001	4	"ELCAP FIELD NUMBER"		"1;1"	"NJ13,7"		0
311.11001	5	"COMMENTS"		"1;2"	"FJ90"		0
