m-class-#	m-prop-#	m-prop-name	m-prop-title	m-prop-loc	m-prop-type	m-prop-det	m-delim-check
311.101	.01	"Study ID"	"sisid"	"0;1"	"RFJ15a"		0
311.101	.02	"Temporary ID"	"sivsidt"	"0;2"	"RFJ15a"		0
311.101	.03	"Permanent ID"	"sivsidp"	"0;3"	"FJ15a"		0
311.101	.04	"Former Study ID"	"sifsid"	"0;4"	"FJ15a"		0
311.101	.05	"Patient Name"	"sivname"	"0;5"	"RFJ30a"		0
311.101	.06	"Patient Name (Last)"	"sinamel"	"0;6"	"RFJ35aX"		0
311.101	.07	"Patient Name (First)"	"sinamef"	"0;7"	"RFJ25aX"		0
311.101	.08	"Date of Birth"	"sidob"	"0;8"	"Da"		0
311.101	.09	"Social Security Number"	"sissn"	"0;9"	"RFJ10a"		0
311.101	.1	"Pseudo SSN Reason"	"sivssnp"	"0;10"	"Sa"	"R:REFUSED TO PROVIDE;S:SSN UNKNOWN/FOLLOW-UP REQUIRED;N:NO SSN ASSIGNED;T:TEST PATIENT;"	0
311.101	.11	"Medical Record Number"	"simrn"	"0;11"	"FJ12a"		0
311.101	.12	"Primary Long ID"	"sivpidl"	"0;12"	"FJ15a"		0
311.101	.13	"Primary Short ID"	"sivpids"	"0;13"	"FJ7a"		0
311.101	.14	"Integration Control Number"		"0;14"	"NJ12,0"		0
