m-class-#	m-prop-#	m-prop-name	m-prop-title	m-prop-loc	m-prop-type	m-prop-det	m-delim-check
311.107	.01	"STUDY ID"	"Study ID"	"0;1"	"RP311.101'"	"SAMI(311.101,"	0
311.107	1	"MOST RECENT PROCEDURE"		"0;2"	"RD"		0
311.107	1.1	"RESECTION PERFORMED"		"0;3"	"S"	"n:No;y:Yes;r:Refused;a:Aborted due to positive mediastinoscopy or other reasons;q:? (Unknown);"	0
311.107	1.2	"NO OR REFUSE DATE"	"If no or refused, provide a date"	"0;4"	"D"		0
311.107	1.3	"NO OR REFUSED REASON"		"0;5"	"FJ40"		0
311.107	1.4	"WHERE PERFORMED"		"0;6"	"FJ30"		0
311.107	1.5	"DATE PERFORMED"		"0;7"	"D"		0
311.107	1.6	"PROCEDURE LOCATION"		"0;8"	"FJ30"		0
311.107	1.7	"INDICATION FOR TREATMENT"		"0;9"	"S"	"f:First lung cancer;r:Recurrence;n:New primary lung cancer;o:Other;"	0
311.107	1.8	"RESECTION COMMENTS"		"1;1"	"FJ200"		0
311.107	2	"LESION SITE"		"1;2"	"P311.10511'"	"SAMI(311.10511,"	0
311.107	2.1	"EXTENT OF SURGERY"	"Extent of surgery"	"1;3"	"S"	"w:wedge resection;s:segmentectomy;l:lobectomy;b:bilobectomy;p:pneumonectomy;o:other;"	0
311.107	2.2	"EXTENT OTHER SPECIFY"		"1;4"	"FJ30"		0
311.107	2.3	"ADDITIONAL SURGERY"	"Additinal surgery for same lesion?"	"1;5"	"S"	"n:No;y:Yes;"	0
311.107	2.4	"ADDITIONAL SURGERY DATE"	"Additional surgery date"	"2;1"	"D"		0
311.107	2.5	"COMMENTS"		"2;2"	"FJ200"		0
311.107	3	"DISCHARGE DATE"		"2;3"	"D"		0
311.107	3.1	"SURGERY COMPLICATIONS"		"2;4"	"S"	"n:No;y:Yes;"	0
311.107	3.2	"SURGERY COMPLICATIONS SPECIFY"		"3;1"	"FJ30"		0
311.107	3.3	"HOSPITAL COMPLICATIONS"		"3;2"	"S"	"n:No;y:Yes;"	0
311.107	3.4	"HOSPITAL COMPLICATIONS DAYS"		"3;3"	"NJ2,0"		0
311.107	3.5	"HOSPITAL COMPLICATIONS SPECIFY"		"3;4"	"FJ30"		0
311.107	4	"TISSUE DIAGNOSIS"		"3;5"	"S"	"b:benign;i:invasive lung cancer;mi:minimally invasive lung cancer;mnlc:non-lung cancer;mais:adenocarcinoma in situ;paah:atypical adenomatous hyperplasia;nd:non-diagnostic;"	0
311.107	4.1	"HISTOLOGY"		"3;6"	"S"	"nsclc:non-small cell lung cancer;h:high grade neuroendocrine tumor (small cell lung cancer);l:low grade neuroendocrine tumor (carcinoid);i:intermediate grade neuroendocrine tumor (atypical carcinoid);"	0
311.107	4.2	"NON SMALL CELL TYPE"	"Non-small cell lung cancer type"	"3;7"	"S"	"ia:invasive adenocarcinoma;scc:squamous cell carcinoma;acc:adenosquamous cell carcinoma;updc:undifferentiated or poorly differentiated carcinoma;lcc:lage cell carcinoma;o:other;"	0
311.107	4.3	"NON SMALL CELL OTHER SPECIFY"		"3;8"	"FJ30"		0
311.107	5	"PATHOLOGY TUMOR LENGTH"		"3;9"	"NJ7,4"		0
311.107	5.1	"PATHOLOGY TUMOR WIDTH"		"3;10"	"NJ7,4"		0
311.107	5.2	"PATHOLOGY TUMOR HEIGHT"		"3;11"	"NJ7,4"		0
311.107	5.3	"TUMOR SIZE NOT APPLICABLE"		"3;12"	"FJ30"		0
311.107	5.4	"INVASION OF OTHER STRUCTURES"		"3;13"	"S"	"n:No;y:Yes;"	0
311.107	5.5	"INVASION LOCATION"		"3;14"	"S"	"v:Major vascular;p:Pleura;m:Mediastinum;c:Chest wall;o:other;"	0
311.107	5.6	"LOCATION OTHER SPECIFY"		"3;15"	"FJ30"		0
311.107	6	"EVIDENCE OF METASTASIS"		"3;16"	"S"	"n:No;y:Yes;"	0
311.107	6.1	"EVIDENCE SPECIFY"		"3;17"	"FJ30"		0
311.107	6.2	"PRE SURGICAL TNM (T)"	"Pre-surgical TNM status (T)"	"3;18"	"S"	"0:T0;is:Tis;1a:T1a;1b:T1b;2a:T2a;2b:T2b;3:T3;4:T4;x:TX;"	0
311.107	6.21	"PRE SURGICAL TNM (N)"		"3;19"	"S"	"0:N0;1:N1;2:N2;3:N3;X:NX;"	0
311.107	6.22	"PRE SURGICAL TNM (M)"		"3;20"	"S"	"0:M0;1a:M1a;1b:M1b;x:MX;"	0
311.107	6.23	"PRE SURGICAL TNM N/A"	"Pre-surgical TNM not applicable"	"4;1"	"S"	"n:No;y:Yes;"	0
311.107	6.24	"PRE SURGICAL N/A SPECIFY"		"4;2"	"FJ30"		0
311.107	6.3	"POST SURGICAL TNM (T)"	"Post-surgical TNM status (T)"	"4;3"	"S"	"0:T0;is:Tis;1a:T1a;1b:T1b;2a:T2a;2b:T2b;3:T3;4:T4;x:TX;"	0
311.107	6.31	"POST SURGICAL TNM (N)"		"4;4"	"S"	"0:N0;1:N1;2:N2;3:N3;X:NX;"	0
311.107	6.32	"POST SURGICAL TNM (M)"		"4;5"	"S"	"0:M0;1a:M1a;1b:M1b;X:MX;"	0
311.107	6.33	"POST SURGICAL TNM N/A"		"4;6"	"S"	"n:No;y:Yes;"	0
311.107	6.34	"POST SURGICAL N/A SPECIFY"		"4;7"	"FJ30"		0
311.107	6.4	"OTHER FINDINGS / COMMENTS"		"5;1"	"FJ200"		0
311.107	7	"RADIOTHERAPY"		"5;2"	"S"	"n:No;y:Yes;q:? (question);r:Refused;"	0
