m-class-#	m-prop-#	m-prop-name	m-prop-title	m-prop-loc	m-prop-type	m-prop-det	m-delim-check
311.106	.01	"STUDY ID"	"Study ID"	"0;1"	"RP311.101'"	"SAMI(311.101,"	0
311.106	.02	"PROCEDURE DATE"		"0;2"	"RD"		0
311.106	.05	"RADIOLOGIST"		"0;3"	"FJ30"		0
311.106	.06	"RADIOLOGIST NPI"		"0;4"	"RFJ15"		0
311.106	.07	"PERFORMED OUTSIDE"		"0;5"	"S"	"n:No;y:Yes;"	0
311.106	1	"DATE OF BASELINE CT"		"0;6"	"RD"		0
311.106	1.1	"MOST RECENT STUDY"		"0;7"	"D"		0
311.106	1.2	"NODULES NOTED IN CT"		"0;8"	"S"	"n:No;y:Yes;"	0
311.106	1.3	"NON-CALCIFIED LESS THAN 6 MM"		"0;9"	"S"	"n:No;y:Yes;"	0
311.106	1.4	"NODULE GRID"		"1;0"	311.10611		0
311.10611	.01	"NODULE ID"	"Nodule ID"	"0;1"	"MFJ10"		0
311.10611	1	"NEW"	"Is it new?"	"0;2"	"P311.10612'"	"SAMI(311.10612,"	0
311.10611	1.1	"LIKELY LOCATION"		"0;3"	"S"	"end:Endobr;lul:LUL;lll:LLL;rul:RUL;rml:RML;rll:RLL;"	0
311.10611	1.2	"MAXIMUM UPTAKE"		"0;4"	"NJ6,4"		0
311.10611	1.3	"NODULE STATUS"		"0;5"	"P311.10316'"	"SAMI(311.10316,"	0
311.10611	1.4	"PATHOLOGIC DIAGNOSIS"		"0;6"	"P311.10317'"	"SAMI(311.10317,"	0
311.106	1.5	"INDEX NODULE"		"2;1"	"FJ10"		0
311.106	1.6	"LUNGRADS CATEGORY"		"2;2"	"S"	"0:0;1:1;2:2;3:3;"	0
311.106	1.7	"LUNGRADS MODIFIER"		"2;3"	"S"	"S:S;C:C;"	0
311.106	2	"PET DETAILS LUNG AND NODULES"		"3;0"	Wx311.10613		0
311.106	3	"PET DETAILS LYMPH NODES"		"4;0"	Wx311.10614		0
311.106	4	"OTHER SIGNIFICANT FINDINGS"		"5;1"	"S"	"n:No;y:Yes;"	0
311.106	4.1	"ANCILLARY FINDING"		"6;0"	"311.10615S"		0
311.10615	.01	"ANCILLARY FINDING LOCATION"	"Ancillary finding location"	"0;1"	"MS"	"b:breast;a:abdomen;h:head;n:neck;"	0
311.10615	.02	"DESCRIPTION"		"0;2"	"FJ50"		0
311.106	4.2	"ANCILLARY FINDINGS COMMENTS"		"7;0"	Wx311.10616		0
311.106	5	"ANY OTHER FINDINGS"		"8;0"	Wx311.10617		0
311.106	6	"FOLLOW UP"		"9;1"	"S"	"rs:annual repeat CT;dx:f/u CT;af:Abx + f/u CT;pe:PET;cc:CT w contrast;fn:CT-guided biopsy;br:bronchoscopy;va:VAT;su:resection;"	0
311.106	6.1	"FOLLOW UP WHEN"		"9;2"	"S"	"nw:now;1m:1 month;3m:3 months;6m:6 months;1y:1 year;os:other;"	0
311.106	6.2	"FOLLOW UP DATE"		"9;3"	"D"		0
311.106	7	"IMPRESSION NODULES"		"9;4"	"S"	"rs:No evidence of nodules. Follow-up as recommended.;ro:Nodule(s) consistent with old granulomatous disease.;ru:Nodule(s) unchanged. Follow-up as recommended.;nf:Nodule(s) as described. Follow-up as recommended.;"	0
311.106	7.1	"IMPRESSION OTHER FINDINGS"		"9;5"	"S"	"no:No other abnormalities;oa:Other abnormalities and suggested follow-up as described.;da:Diffuse abnormalities.;"	0
311.106	7.3	"IMPRESSION REMARKS"		"10;0"	Wx311.10618		0
