"Sub. #"	"Field Name"	"Title"	"Data Type"	"Req."	"Indx."	"Edit."	"Value"	"Definition"	"Comments"
1	"sbsid"	"Study ID"	"TEXT"	"Y"	"Y"				
1	"sbdop"	"Patient Date of Baseline CT"	"DATE"						
1	"sbage"	"Patient Age"	"PNUM"						
1	"sbdob"	"Patient Date of Birth"	"DATE"						"DEPRECATED"
1	"sbocc"	"Patient Occupation"	"TEXT"						
1	"sboccc"	"Occupation Code"	"PULLDOWN"				"-"	"-"	
2							1	"Higher executives"	
3							2	"Business managers"	
4							3	"Administrative Personnel"	
5							4	"Clerical/Sales workers"	
6							5	"Skilled Manual Employees"	
7							6	"Machine Operators"	
8							7	"Unskilled Employees"	
9							8	"Unemployed"	
1	"sbsex"	"Patient Sex"	"RADIO"				"m"	"Male"	
2							"f"	"Female"	
1	"sbph"	"Patient Height"	"REAL"						
1	"sbphu"	"Patient Height (Units)"	"RADIO"				"i"	"in"	
2							"c"	"cm"	
1	"sbpw"	"Patient Weight"	"REAL"						
1	"sbpwu"	"Patient Weight (Units) "	"RADIO"				"p"	"lbs"	
2							"k"	"kg"	
1	"sbbmi"	"Patient BMI"	"REAL"			"N"			
1	"sbet"	"Ethnicity"	"PULLDOWN"				"-"	"-"	
2							"y"	"Hispanic or Latino"	
3							"n"	"Not Hispanic or Latino"	
1	"sbrc"	"Patient Race"	"PULLDOWN"				"-"	"-"	
2							"w"	"White"	"Previously 'Caucasian'"
3							"h"	"Spanish / Hispanic / Latino (N/A 10/2007)"	"DEPRECATED 10/2007"
4							"b"	"Black or African American"	"Previously 'African American / West Indian / Caribbean'"
5							"i"	"American Indian"	
6							"k"	"Alaska Native"	
7							"a"	"Asian"	
8							"p"	"Native Hawaiian or Other Pacific Islander"	"Previously 'Pacific Islander'"
9							"t"	"Two or more"	
10							"o"	"Other (specify) (N/A 10/2007)"	"DEPRECATED 10/2007"
1	"sbrcs"	"Patient Race (Specify)"	"TEXT"						
1	"sbed"	"Level of Education"	"PULLDOWN"				"-"	"-"	
2							"n"	"did not complete high school"	
3							"hs"	"completed high school"	
4							"sc"	"started college"	
5							"ts"	"completed trade school"	
6							"ad"	"completed 2-year college degree"	
7							"bd"	"completed 4-year college degree"	
8							"gd"	"advanced degree (e.g., Master's, J.D., M.D., Ph.D.)"	
1	"sbmly"	"Served in the military?"	"RADIO"				"n"	"no"	
2							"y"	"yes"	
1	"sbmlyo"	"Served in the military, branch"	"TEXT"						
1	"sbmeq"	"Lung screening scan ordered (G0297)"	"RADIO"				"n"	"no"	
2							"y"	"yes"	
1	"sbopfn"	"Ordering practitioner first name"	"TEXT"						
1	"sbopln"	"Ordering practitioner last name"	"TEXT"						
1	"sbopnpi"	"Ordering practitioner NPI"	"PNUM"						
1	"sbdsd"	"Documentation of shared decision making"	"RADIO"				"n"	"no"	
2							"y"	"yes"	
1	"sbopss"	"Ordering practitioner reported smoking status"	"RADIO"				"c"	"current"	
2							"f"	"former"	
1	"sboppy"	"Ordering practitioner reported pack years"	"PNUM"						
1	"sbopqy"	"Ordering practitioner reported quit years"	"PNUM"						
1	"sboas"	"Ordering practitioner reported asympotomatic for lung cancer"	"RADIO"				"n"	"no"	
2							"y"	"yes"	
1	"sbopci"	"Clinical information"	"TEXT"						
1	"sbfc"	"Family History of Lung Cancer"	"RADIO"				"n"	"no"	
2							"y"	"yes"	
3							"q"	"?"	
1	"sbfcf"	"Family History of Lung Cancer: Father"	"RADIO"				"n"	"no"	
2							"y"	"yes"	
1	"sbfcm"	"Family History of Lung Cancer: Mother"	"RADIO"				"n"	"no"	
2							"y"	"yes"	
1	"sbfcs"	"Family History of Lung Cancer: Siblings"	"RADIO"				"n"	"no"	
2							"y"	"yes"	
1	"sbhco"	"All other Cancers"	"RADIO"				"n"	"no"	
2							"y"	"yes"	
3							"q"	"?"	
1	"sbhcdod"	"Other Cancer Diagnosis Date"	"YEAR"						
1	"sbhcpbo"	"Other Cancer Primary Site"	"TEXT"						
1	"sbmpa"	"Asthma"	"RADIO"				"n"	"no"	
2							"y"	"yes"	
3							"q"	"?"	
1	"sbmpat"	"Asthma Treated"	"RADIO"				"n"	"no"	
2							"y"	"yes"	
1	"sbmpc"	"Emphysema or Chronic Bronchitis (COPD)"	"RADIO"				"n"	"no"	
2							"y"	"yes"	
3							"q"	"?"	
1	"sbmpht"	"Hypertension"	"RADIO"				"n"	"no"	
2							"y"	"yes"	
3							"q"	"?"	
1	"sbmphtt"	"Hypertension Treated"	"RADIO"				"n"	"no"	
2							"y"	"yes"	
1	"sbmphtsw"	"Hypertension Since When"	"YEAR"						
1	"sbmphthv"	"Hypertension Highest Value"	"INTEGER"						
1	"sbmphc"	"High Cholesterol"	"RADIO"				"n"	"no"	
2							"y"	"yes"	
3							"q"	"?"	
1	"sbmpct"	"High Cholesterol Treated"	"RADIO"				"n"	"no"	
2							"y"	"yes"	
1	"sbmpmi"	"MI"	"RADIO"				"n"	"no"	
2							"y"	"yes"	
3							"q"	"?"	
1	"sbmpmid"	"MI Diagnosis Date"	"YEAR"						
1	"sbmpmiw"	"MI Treated Location"	"TEXT"						
1	"sbmpas"	"Had an angioplasty or Stent?"	"RADIO"				"n"	"no"	
2							"y"	"yes"	
3							"q"	"?"	
1	"sbmpasw"	"When (Angioplasty/Stent)? (YYYY)"	"YEAR"						
1	"sbmpast"	"Where Treated (Angioplasty/Stent)?"	"TEXT"						
1	"sbmps"	"Stroke"	"RADIO"				"n"	"no"	
2							"y"	"yes"	
3							"q"	"?"	
1	"sbmpsd"	"Stroke Diagnosis Date"	"YEAR"						
1	"sbmpsw"	"Stroke Treated Location"	"TEXT"						
1	"sbmppv"	"Peripheral Vascular Disease"	"RADIO"				"n"	"no"	
2							"y"	"yes"	
3							"q"	"?"	
1	"sbmpd"	"Diabetes"	"RADIO"				"n"	"no"	
2							"y"	"yes"	
3							"q"	"?"	
1	"sbmpdw"	"Diabetes started at age"	"INTEGER"						
1	"sbmpdt"	"Diabetes Treated"	"RADIO"				"n"	"no"	
2							"y"	"yes"	
1	"sbmpld"	"Liver Disease"	"RADIO"				"n"	"no"	
2							"y"	"yes"	
3							"q"	"?"	
1	"sbmplds"	"Liver Disease Severity"	"RADIO"				"m"	"Mild"	
2							"s"	"Moderate/Severe"	
1	"sbmprd"	"Renal Disease"	"RADIO"				"n"	"no"	
2							"y"	"yes"	
3							"q"	"?"	
1	"sbmprds"	"Renal Disease Severity"	"RADIO"				"m"	"Mild"	
2							"s"	"Moderate/Severe"	
1	"sbwc"	"During past year symptoms?"	"RADIO"				"n"	"no"	
2							"y"	"yes"	
1	"sbwcb"	"cough producing bloody material"	"CHECKBOX"				"b"	"Yes"	
1	"sbwch"	"persistent hoarseness"	"CHECKBOX"				"h"	"Yes"	
1	"sbwcl"	"unexplained weight loss"	"CHECKBOX"				"l"	"Yes"	
1	"sbwco"	"other"	"CHECKBOX"				"o"	"Yes"	
1	"sbwcos"	"other (specify)"	"TEXT"						
1	"sbact"	"most recent chest CT?"	"PULLDOWN"				"-"	"-"	
2							"a"	"less than 6 months ago"	
3							"b"	"6-18 months ago"	
4							"f"	"18 months to 3 years ago"	"1.44b - New category"
5							"c"	"3 years to 5 years ago"	"1.44b - Previously '18 months to 5 years ago'"
6							"d"	"over 5 years ago"	
7							"e"	"never"	
1	"sbahcl"	"where was the test done? (Chest CT)"	"TEXT"						
1	"sbahpft"	"pulmonary function test"	"RADIO"				"n"	"no"	
2							"y"	"yes"	
1	"sbfev1"	"FEV1 (L/s)"	"REAL"						
1	"sbfvc"	"FVC (L)"	"REAL"						
1	"sbffr"	"FEV1/FVC Ratio"	"REAL"			"NO"			
1	"sbcop"	"Diffusion Capacity (mL/min/mm Hg) "	"REAL"						"Previously 'Carbon Monoxide (ppm)'"
1	"sbaha"	"Asbestos Exposure"	"RADIO"				"n"	"no"	
2							"y"	"yes"	
1	"sbahaoi"	"asbestos product manufacturing"	"CHECKBOX"				"i"		
1	"sbahaoj"	"auto repair"	"CHECKBOX"				"j"		
1	"sbahaoh"	"building maintenance"	"CHECKBOX"				"h"		
1	"sbahaof"	"chemical industry/foundary/refinery"	"CHECKBOX"				"f"		
1	"sbahaoa"	"construction/demolition"	"CHECKBOX"				"a"		
1	"sbahaoe"	"mining"	"CHECKBOX"				"e"		
1	"sbahaog"	"nuclear industry"	"CHECKBOX"				"g"		
1	"sbahaoc"	"ship construction/repair"	"CHECKBOX"				"c"		
1	"sbahaoo"	"other"	"CHECKBOX"				"o"		
1	"sbahas"	"Asbestos Occupation Other (Specify)"	"TEXT"						
1	"sbsews"	"After 18, working in smoking worksite"	"RADIO"				"n"	"no"	
2							"y"	"yes"	
1	"sbsehs"	"Work 1+ year in job heavily exposed to smoke"	"RADIO"				"n"	"no"	
2							"y"	"yes"	
1	"sbsehsa1"	"Work - Age Range - 1"	"TEXT"						
1	"sbsehsj1"	"Work - Job - 1"	"TEXT"						
1	"sbsehsr1"	"Work - Smoking - 1"	"RADIO"				"n"	"not permitted"	
2							"r"	"restricted"	
3							"y"	"allowed anywhere"	
1	"sbsehsa2"	"Work - Age Range - 2"	"TEXT"						
1	"sbsehsj2"	"Work - Job - 2"	"TEXT"						
1	"sbsehsr2"	"Work - Smoking - 2"	"RADIO"				"n"	"not permitted"	
2							"r"	"restricted"	
3							"y"	"allowed anywhere"	
1	"sbsehsa3"	"Work - Age Range - 3"	"TEXT"						
1	"sbsehsj3"	"Work - Job - 3"	"TEXT"						
1	"sbsehsr3"	"Work - Smoking - 3"	"RADIO"				"n"	"not permitted"	
2							"r"	"restricted"	
3							"y"	"allowed anywhere"	
1	"sbsehsa4"	"Work - Age Range - 4"	"TEXT"						
1	"sbsehsj4"	"Work - Job - 4"	"TEXT"						
1	"sbsehsr4"	"Work - Smoking - 4"	"RADIO"				"n"	"not permitted"	
2							"r"	"restricted"	
3							"y"	"allowed anywhere"	
1	"sbhsy"	"House member smoke when you were under 18?"	"RADIO"				"n"	"no"	
2							"y"	"Yes"	
1	"sbhsyh"	"Smoking allowed in house"	"RADIO"				"n"	"not permitted"	
2							"r"	"restricted"	
3							"y"	"allowed anywhere"	
1	"sbmsy"	"Did your primary caregiver smoke when you were under 7?"	"RADIO"				"n"	"no"	
2							"y"	"Yes"	
1	"sbmst"	"Did your primary care giver smoke when you were ages 7-18?"	"RADIO"				"n"	"no"	
2							"y"	"Yes"	
1	"sbosy"	"Did other smoke in the home when you were under 18?"	"RADIO"				"n"	"no"	
2							"y"	"Yes"	
1	"sbslws"	"Do you currently live with a smoker?"	"RADIO"				"n"	"no"	"DEPRECATED v1.41"
2							"y"	"Yes"	
1	"sbhso"	"House member smoke when you were over 18?"	"RADIO"				"n"	"no"	
2							"y"	"Yes"	
1	"sbhsa1"	"Live with smoker - Age - 1"	"TEXT"						
1	"sbhsas1"	"Live with smoker - Amount - 1"	"PULLDOWN"				"-"	"-"	
2							"a"	"1-14 Cigarettes per day"	
3							"b"	"15-24 Cigarettes per day"	
4							"c"	"25+ Cigarettes per day"	
5							"d"	"Don't Know"	
1	"sbhsasr1"	"House - Smoking - 1"	"RADIO"				"n"	"not permitted"	
2							"r"	"restricted"	
3							"y"	"allowed anywhere"	
1	"sbhsa2"	"Live with smoker - Age - 2"	"TEXT"						
1	"sbhsas2"	"Live with smoker - Amount - 2"	"PULLDOWN"				"-"	"-"	
2							"a"	"1-14 Cigarettes per day"	
3							"b"	"15-24 Cigarettes per day"	
4							"c"	"25+ Cigarettes per day"	
5							"d"	"Don't Know"	
1	"sbhsasr2"	"House - Smoking - 2"	"RADIO"				"n"	"not permitted"	
2							"r"	"restricted"	
3							"y"	"allowed anywhere"	
1	"sbhsa3"	"Live with smoker - Age - 3"	"TEXT"						
1	"sbhsas3"	"Live with smoker - Amount - 3"	"PULLDOWN"				"-"	"-"	
2							"a"	"1-14 Cigarettes per day"	
3							"b"	"15-24 Cigarettes per day"	
4							"c"	"25+ Cigarettes per day"	
5							"d"	"Don't Know"	
1	"sbhsasr3"	"House - Smoking - 3"	"RADIO"				"n"	"not permitted"	
2							"r"	"restricted"	
3							"y"	"allowed anywhere"	
1	"sbhsa4"	"Live with smoker - Age - 4"	"TEXT"						
1	"sbhsas4"	"Live with smoker - Amount - 4"	"PULLDOWN"				"-"	"-"	
2							"a"	"1-14 Cigarettes per day"	
3							"b"	"15-24 Cigarettes per day"	
4							"c"	"25+ Cigarettes per day"	
5							"d"	"Don't Know"	
1	"sbhsasr4"	"House - Smoking - 4"	"RADIO"				"n"	"not permitted"	
2							"r"	"restricted"	
3							"y"	"allowed anywhere"	
1	"sbsru"	"Have you smoked at least 100 cigarettes in your lifetime"	"RADIO"				"n"	"no"	
2							"y"	"Yes"	
1	"sbsruyn"	"Never smoker, exposed to second hand smoke?"	"RADIO"				"n"	"no"	
2							"y"	"yes"	
1	"sbsas"	"Age when started smoking cigarettes regularly"	"INTEGER"						
1	"sbntpy"	"Total Pack-Years"	"REAL"			"NO"			
1	"sbshsa"	"Over the past month, have you smoked at all"	"RADIO"				"n"	"no"	
2							"y"	"Yes"	
1	"sbswppd"	"packs of cigarettes currently smoked per day (PPD)"	"REAL"						
1	"sbsdlcd"	"date of your last cigarette (DAY)"	"PULLDOWN"				"-"	"-"	
2							1	1	
3							2	2	
4							3	3	
5							4	4	
6							5	5	
7							6	6	
8							7	7	
9							8	8	
10							9	9	
11							10	10	
12							11	11	
13							12	12	
14							13	13	
15							14	14	
16							15	15	
17							16	16	
18							17	17	
19							18	18	
20							19	19	
21							20	20	
22							21	21	
23							22	22	
24							23	23	
25							24	24	
26							25	25	
27							26	26	
28							27	27	
29							28	28	
30							29	29	
31							30	30	
32							31	31	
1	"sbsdlcm"	"date of your last cigarette (MONTH)"	"PULLDOWN"				"-"	"-"	
2							1	"Jan"	
3							2	"Feb"	
4							3	"Mar"	
5							4	"Apr"	
6							5	"May"	
7							6	"Jun"	
8							7	"Jul"	
9							8	"Aug"	
10							9	"Sep"	
11							10	"Oct"	
12							11	"Nov"	
13							12	"Dec"	
1	"sbsdlcy"	"date of your last cigarette (YEAR)"	"YEAR"						
1	"sbfdpw"	"Former Smoker Days Per Week"	"PNUM"						
1	"sbfppd"	"Former Smoker PPD"	"PNUM"						
1	"sbfdur"	"Former Smoker Duration"	"PNUM"						
1	"sbcdpw"	"Current Smoker Days Per Week"	"PNUM"						
1	"sbcppd"	"Current Smoker PPD"	"PNUM"						
1	"sbcdur"	"Current Smoker Duration"	"PNUM"						
1	"sbqttq"	"ever tried to quit smoking?"	"RADIO"				"n"	"no"	
2							"y"	"Yes"	
