FIELD NUM	QUESTION	NAME	TYPE	REQUIRED	PLACEHOLDER	VALUES	LABELS
1	Have you ever worked in any of the following?	sbahaoc	checkbox	0		ao	Agent orange
2	Have you ever worked in any of the following?	sbahaoi	checkbox	0		i	Asbestos product manufacturing
3	Have you ever worked in any of the following?	sbahaoj	checkbox	0		j	Auto repair
4	Have you ever worked in any of the following?	sbahaoh	checkbox	0		h	Building maintenance
5	Have you ever worked in any of the following?	sbahaof	checkbox	0		f	Chemical industry/foundary/refinery
6	Have you ever worked in any of the following?	sbahaoa	checkbox	0		a	Construction/demolition
7	Have you ever worked in any of the following?	sbahaoe	checkbox	0		e	Mining
8	Have you ever worked in any of the following?	sbahaog	checkbox	0		g	Nuclear industry
9	Have you ever worked in any of the following?	sbahaoo	checkbox	0		o	Other
10	Have you ever worked in any of the following?	sbahas	text	0			Other work
11	Have you experienced any symptoms indicative of lung cancer?	sblcs	radio	0		n;y	No;Yes
12	Have you experienced any symptoms indicative of lung cancer? -- Check all that apply	sbwcb	checkbox	0		b	Cough producing bloody material
13	Have you experienced any symptoms indicative of lung cancer? -- Check all that apply	sbwcl	checkbox	0		l	Unexplained weight loss greater than 20 lbs.
14	Have you experienced any symptoms indicative of lung cancer? -- Check all that apply	sbwch	checkbox	0		h	Unexplained hoarseness
15	Have you experienced any symptoms indicative of lung cancer? -- Check all that apply	sbwco	checkbox	0		o	Other
16	Have you experienced any symptoms indicative of lung cancer? -- Check all that apply	sbwcos	text	0			Other symptom
17	When did you most recently have a chest CT?	sbact	select-one	0		-;a;b;f;c;d;e	—;Less than 6 months ago;6–18 months ago;18 months to 3 years ago;3 years to 5 years ago;Over 5 years ago;Never
18	Where was the (chest CT) test done?	sbahcl	text	0			Where was the test done?
19	Have you had a pulmonary function test within the last five years?	sbahpft	radio	0		n;y	No;Yes
20	Pulmonary function test	sbfev1	text	0			FEV1 (L/s)
21	Pulmonary function test	sbfvc	text	0			FVC (L)
22	Pulmonary function test	sbcop	text	0			Diffusion capacity (mL/min/mm Hg)
23	If you currently smoke, how many times have you attempted to quit in the last 12 months?	sbqtatt	text	0			
24	Have you been provided with smoking cessation services?	sbscs	radio	0		n;y	No;Yes
25	Smoking cessation services -- When?	sbscsw	text	0			When?
26	Smoking cessation services -- Have you used any of the following medications?	sbscsmv	checkbox	0		v	Varenicline
27	Smoking cessation services -- Have you used any of the following medications?	sbscsmb	checkbox	0		b	Buproprion
28	Smoking cessation services -- Have you used any of the following medications?	sbscsmp	checkbox	0		p	Patch
29	Smoking cessation services -- Have you used any of the following medications?	sbscsml	checkbox	0		l	Lozenges
30	Smoking cessation services -- Have you used any of the following medications?	sbscsmg	checkbox	0		g	Gum
