FIELD NUM	QUESTION	NAME	TYPE	REQUIRED	PLACEHOLDER	VALUES	LABELS
1	Was a biopsy performed	bxp	radio	1		n;y	No;Yes
2	Procedure date	bxdos	text	1			Procedure date
3	Where was the biopsy performed	bxw	text	1			Where was the biopsy performed?
4	Indication for biopsy - Other specify	bxind	text	1			Other
5	Lesion site - Other specify	bxlocs	text	1			Other
6	Type of procedure - Other specify	bxtopos	text	1			Other
7	Complications during biopsy	bxcp	radio	1		n;y	No;Yes
8	Type of complication - Other specify	bxcpos	text	1			Other (specify)
9	Was a mediastinoscopy performed	rbmep	radio	1		n;y	No;Yes
10	Mediastinoscopy lesion site - Other specify	rbmls	text	1			Other (specify)
11	Mediastinoscopy Complications during procedure	rbmec	radio	1		n;y	No;Yes
12	Mediastinoscopy Complications during procedure specify	rbmecos	text	1			Specify
13	Molecular Testing	rbmt	radio	1		n;y	No;Yes
14	Molecular Testing - EGFR	rbmte	radio	1		n;neg;pos	No;Negative;Positive
15	Molecular Testing - K-Ras	rbmtk	radio	1		n;neg;pos	No;Negative;Positive
16	Molecular Testing - ALK	rbmta	radio	1		n;neg;pos	No;Negative;Positive
17	Indication for biopsy - size	bxinds	checkbox	0		s	Size
18	Indication for biopsy - No resolution after abx	bxindr	checkbox	0		r	No resolution after abx
19	Indication for biopsy - growth	bxindg	checkbox	0		g	Growth
20	Indication for biopsy - Positive Pet	bxindp	checkbox	0		p	Positive PET
21	Indication for biopsy - Other	bxindo	checkbox	0		o	Other (specify)
22	Lesion site - LUL	bxloclul	checkbox	0		lul	LUL
23	Lesion site - LLL	bxloclll	checkbox	0		lll	LLL
24	Lesion site - L hilum	bxloclh	checkbox	0		lh	L hilum
25	Lesion site - L lingula	bxloclg	checkbox	0		lg	L lingula
26	Lesion site - RUL	bxlocrul	checkbox	0		rul	RUL
27	Lesion site - RML	bxlocrml	checkbox	0		rml	RML
28	Lesion site - RLL	bxlocrll	checkbox	0		rll	RLL
29	Lesion site - R hilum	bxlocrh	checkbox	0		rh	R hilum
30	Lesion site - Endobronchial	bxloce	checkbox	0		e	Endobronchial
31	Lesion site - Mediastinum	bxlocm	checkbox	0		m	Mediastinum
32	Lesion site - Pleura	bxlocp	checkbox	0		p	Pleura
33	Lesion site - Other	bxloco	checkbox	0		o	Other (specify)
34	Type of specimen - Cytology	bxtosc	checkbox	0		c	Cytology
35	Type of specimen - Histology	bxtosh	checkbox	0		h	Histology
36	Type of procedure - Needle biopsy	bxtopc	checkbox	0		c	Needle biopsy
37	Type of procedure - Bronchoscopy	bxtopb	checkbox	0		b	Bronchoscopy
38	Type of procedure - VAT	bxtopv	checkbox	0		v	VAT
39	Type of procedure - Thoracotomy	bxtopt	checkbox	0		t	Thoracotomy
40	Type of procedure -  Other	bxtopo	checkbox	0		o	Other (specify)
41	Type of complication - Chest tube	bxcpct	checkbox	0		c	Chest tube
42	Type of complication - Pneumothorax	bxcppt	checkbox	0		pt	Pneumothorax
43	Type of complication - Pneumonectasis	bxcppn	checkbox	0		pn	Pneumonectasis
44	Type of complication - Other	bxcpo	checkbox	0		o	Other
45	Biopsy pathology details	bxpdt	textarea	0			Biopsy pathology details
46	Mediastinoscopy date	rbmed	text	0			Procedure date
47	Mediastinoscopy lesion site - LUL	rbmllul	checkbox	0		lul	LUL
48	Mediastinoscopy lesion site - LLL	rbmllll	checkbox	0		lll	LLL
49	Mediastinoscopy lesion site - L hilum	rbmllh	checkbox	0		lh	L hilum
50	Mediastinoscopy lesion site - L lingula	rbmllg	checkbox	0		lg	L lingula
51	Mediastinoscopy lesion site - RUL	rbmlrul	checkbox	0		rul	RUL
52	Mediastinoscopy lesion site - RML	rbmlrml	checkbox	0		rml	RML
53	Mediastinoscopy lesion site - RLL	rbmlrll	checkbox	0		rll	RLL
54	Mediastinoscopy lesion site - R hilum	rbmlrh	checkbox	0		rh	R hilum
55	Mediastinoscopy lesion site - Endobronchial	rbmle	checkbox	0		e	Endobronchial
56	Mediastinoscopy lesion site - Mediastinum	rbmlm	checkbox	0		m	Mediastinum
57	Mediastinoscopy lesion site - Pleura	rbmlp	checkbox	0		p	Pleura
58	Mediastinoscopy lesion site - Other	rbmlo	checkbox	0		o	Other
59	Molecular Testing -  Other specify	rbmtos	text	0			specify
60	Where was the mediastinoscopy performed	rbmel	text				Where was the mediastinoscopy performed?
