FIELD NUM	QUESTION	NAME	TYPE	REQUIRED	PLACEHOLDER	VALUES	LABELS
1	Study date	ptdos	text	1			Study date
2	Radiologist	ptrad	text	1			Radiologist
3	Radiologist NPI	ptradnpi	text	0			Radiologist NPI
4	PET scan performed at outside institution	ptofr	radio	0		n;yes	No;Yes
5	Date of baseline CT	sidoe	text	1
6	Date of most recent comparative study	cedos	text	1
7	Are there any nodules noted in the CT scan	ceanod	radio	0		n;yes	No;Yes
8	"Are non-calcified nodules noted, all less than 6 mm"	cenncnlt	radio	0		n;yes	No;Yes
9	Is it a new nodule?  Nodule 1	cect1ch	select-one	0		-;n;pn;pd;pe;pi;pj;po;pw;px;pr;rn;rd;ri;rj;pk;pv	"-;Newly seen;Prev seen, no change;Prev seen, slight decr;Prev seen, marked decr;Prev seen, slight incr;Prev seen, marked incr;Prev seen, obscured;Prev seen, resolved;Prev seen, not a nodule;Prev seen, resected;Retrospect, no chg;Retrospect, decrease;Retrospect, slight incr;Retrospect, marked incr;Not in outside report;Not included in scan"
10	Is it a new nodule?  Nodule 2	cect2ch	select-one	0		-;n;pn;pd;pe;pi;pj;po;pw;px;pr;rn;rd;ri;rj;pk;pv	"-;Newly seen;Prev seen, no change;Prev seen, slight decr;Prev seen, marked decr;Prev seen, slight incr;Prev seen, marked incr;Prev seen, obscured;Prev seen, resolved;Prev seen, not a nodule;Prev seen, resected;Retrospect, no chg;Retrospect, decrease;Retrospect, slight incr;Retrospect, marked incr;Not in outside report;Not included in scan"
11	Is it a new nodule?  Nodule 3	cect3ch	select-one	0		-;n;pn;pd;pe;pi;pj;po;pw;px;pr;rn;rd;ri;rj;pk;pv	"-;Newly seen;Prev seen, no change;Prev seen, slight decr;Prev seen, marked decr;Prev seen, slight incr;Prev seen, marked incr;Prev seen, obscured;Prev seen, resolved;Prev seen, not a nodule;Prev seen, resected;Retrospect, no chg;Retrospect, decrease;Retrospect, slight incr;Retrospect, marked incr;Not in outside report;Not included in scan"
12	Is it a new nodule?  Nodule 4	cect4ch	select-one	0		-;n;pn;pd;pe;pi;pj;po;pw;px;pr;rn;rd;ri;rj;pk;pv	"-;Newly seen;Prev seen, no change;Prev seen, slight decr;Prev seen, marked decr;Prev seen, slight incr;Prev seen, marked incr;Prev seen, obscured;Prev seen, resolved;Prev seen, not a nodule;Prev seen, resected;Retrospect, no chg;Retrospect, decrease;Retrospect, slight incr;Retrospect, marked incr;Not in outside report;Not included in scan"
13	Is it a new nodule?  Nodule 5	cect5ch	select-one	0		-;n;pn;pd;pe;pi;pj;po;pw;px;pr;rn;rd;ri;rj;pk;pv	"-;Newly seen;Prev seen, no change;Prev seen, slight decr;Prev seen, marked decr;Prev seen, slight incr;Prev seen, marked incr;Prev seen, obscured;Prev seen, resolved;Prev seen, not a nodule;Prev seen, resected;Retrospect, no chg;Retrospect, decrease;Retrospect, slight incr;Retrospect, marked incr;Not in outside report;Not included in scan"
14	Is it a new nodule?  Nodule 6	cect6ch	select-one	0		-;n;pn;pd;pe;pi;pj;po;pw;px;pr;rn;rd;ri;rj;pk;pv	"-;Newly seen;Prev seen, no change;Prev seen, slight decr;Prev seen, marked decr;Prev seen, slight incr;Prev seen, marked incr;Prev seen, obscured;Prev seen, resolved;Prev seen, not a nodule;Prev seen, resected;Retrospect, no chg;Retrospect, decrease;Retrospect, slight incr;Retrospect, marked incr;Not in outside report;Not included in scan"
15	Is it a new nodule?  Nodule 7	cect7ch	select-one	0		-;n;pn;pd;pe;pi;pj;po;pw;px;pr;rn;rd;ri;rj;pk;pv	"-;Newly seen;Prev seen, no change;Prev seen, slight decr;Prev seen, marked decr;Prev seen, slight incr;Prev seen, marked incr;Prev seen, obscured;Prev seen, resolved;Prev seen, not a nodule;Prev seen, resected;Retrospect, no chg;Retrospect, decrease;Retrospect, slight incr;Retrospect, marked incr;Not in outside report;Not included in scan"
16	Is it a new nodule?  Nodule 8	cect8ch	select-one	0		-;n;pn;pd;pe;pi;pj;po;pw;px;pr;rn;rd;ri;rj;pk;pv	"-;Newly seen;Prev seen, no change;Prev seen, slight decr;Prev seen, marked decr;Prev seen, slight incr;Prev seen, marked incr;Prev seen, obscured;Prev seen, resolved;Prev seen, not a nodule;Prev seen, resected;Retrospect, no chg;Retrospect, decrease;Retrospect, slight incr;Retrospect, marked incr;Not in outside report;Not included in scan"
17	Is it a new nodule?  Nodule 9	cect9ch	select-one	0		-;n;pn;pd;pe;pi;pj;po;pw;px;pr;rn;rd;ri;rj;pk;pv	"-;Newly seen;Prev seen, no change;Prev seen, slight decr;Prev seen, marked decr;Prev seen, slight incr;Prev seen, marked incr;Prev seen, obscured;Prev seen, resolved;Prev seen, not a nodule;Prev seen, resected;Retrospect, no chg;Retrospect, decrease;Retrospect, slight incr;Retrospect, marked incr;Not in outside report;Not included in scan"
18	Is it a new nodule?  Nodule 10	cect10ch	select-one	0		-;n;pn;pd;pe;pi;pj;po;pw;px;pr;rn;rd;ri;rj;pk;pv	"-;Newly seen;Prev seen, no change;Prev seen, slight decr;Prev seen, marked decr;Prev seen, slight incr;Prev seen, marked incr;Prev seen, obscured;Prev seen, resolved;Prev seen, not a nodule;Prev seen, resected;Retrospect, no chg;Retrospect, decrease;Retrospect, slight incr;Retrospect, marked incr;Not in outside report;Not included in scan"
19	Endobronchial? Nodule 1	cect1en	select-one	0		-;no;tr;rm;lm;bi;rul;rml;rll;lul;lll	-;No;Trachea;Rt. Main;Lt. Main;BI;RUL;RML;RLL;LUL;LLL
20	Endobronchial? Nodule 2	cect2en	select-one	0		-;no;tr;rm;lm;bi;rul;rml;rll;lul;lll	-;No;Trachea;Rt. Main;Lt. Main;BI;RUL;RML;RLL;LUL;LLL
21	Endobronchial? Nodule 3	cect3en	select-one	0		-;no;tr;rm;lm;bi;rul;rml;rll;lul;lll	-;No;Trachea;Rt. Main;Lt. Main;BI;RUL;RML;RLL;LUL;LLL
22	Endobronchial? Nodule 4	cect4en	select-one	0		-;no;tr;rm;lm;bi;rul;rml;rll;lul;lll	-;No;Trachea;Rt. Main;Lt. Main;BI;RUL;RML;RLL;LUL;LLL
23	Endobronchial? Nodule 5	cect5en	select-one	0		-;no;tr;rm;lm;bi;rul;rml;rll;lul;lll	-;No;Trachea;Rt. Main;Lt. Main;BI;RUL;RML;RLL;LUL;LLL
24	Endobronchial? Nodule 6	cect6en	select-one	0		-;no;tr;rm;lm;bi;rul;rml;rll;lul;lll	-;No;Trachea;Rt. Main;Lt. Main;BI;RUL;RML;RLL;LUL;LLL
25	Endobronchial? Nodule 7	cect7en	select-one	0		-;no;tr;rm;lm;bi;rul;rml;rll;lul;lll	-;No;Trachea;Rt. Main;Lt. Main;BI;RUL;RML;RLL;LUL;LLL
26	Endobronchial? Nodule 8	cect8en	select-one	0		-;no;tr;rm;lm;bi;rul;rml;rll;lul;lll	-;No;Trachea;Rt. Main;Lt. Main;BI;RUL;RML;RLL;LUL;LLL
27	Endobronchial? Nodule 9	cect9en	select-one	0		-;no;tr;rm;lm;bi;rul;rml;rll;lul;lll	-;No;Trachea;Rt. Main;Lt. Main;BI;RUL;RML;RLL;LUL;LLL
28	Endobronchial? Nodule 10	cect10en	select-one	0		-;no;tr;rm;lm;bi;rul;rml;rll;lul;lll	-;No;Trachea;Rt. Main;Lt. Main;BI;RUL;RML;RLL;LUL;LLL
29	Most likely location? Nodule 1	cect1ll	select-one	0		-;end;lul;lll;rul;rml;rll	-;Endobr;LUL;LLL;RUL;RML;RLL
30	Most likely location? Nodule 2	cect2ll	select-one	0		-;end;lul;lll;rul;rml;rll	-;Endobr;LUL;LLL;RUL;RML;RLL
31	Most likely location? Nodule 3	cect3ll	select-one	0		-;end;lul;lll;rul;rml;rll	-;Endobr;LUL;LLL;RUL;RML;RLL
32	Most likely location? Nodule 4	cect4ll	select-one	0		-;end;lul;lll;rul;rml;rll	-;Endobr;LUL;LLL;RUL;RML;RLL
33	Most likely location? Nodule 5	cect5ll	select-one	0		-;end;lul;lll;rul;rml;rll	-;Endobr;LUL;LLL;RUL;RML;RLL
34	Most likely location? Nodule 6	cect6ll	select-one	0		-;end;lul;lll;rul;rml;rll	-;Endobr;LUL;LLL;RUL;RML;RLL
35	Most likely location? Nodule 7	cect7ll	select-one	0		-;end;lul;lll;rul;rml;rll	-;Endobr;LUL;LLL;RUL;RML;RLL
36	Most likely location? Nodule 8	cect8ll	select-one	0		-;end;lul;lll;rul;rml;rll	-;Endobr;LUL;LLL;RUL;RML;RLL
37	Most likely location? Nodule 9	cect9ll	select-one	0		-;end;lul;lll;rul;rml;rll	-;Endobr;LUL;LLL;RUL;RML;RLL
38	Most likely location? Nodule 10	cect10ll	select-one	0		-;end;lul;lll;rul;rml;rll	-;Endobr;LUL;LLL;RUL;RML;RLL
39	SUV Nodule 1	cect1su	text	1			Standard Update Value
40	SUV Nodule 2	cect2su	text	1			Standard Update Value
41	SUV Nodule 3	cect3su	text	1			Standard Update Value
42	SUV Nodule 4	cect4su	text	1			Standard Update Value
43	SUV Nodule 5	cect5su	text	1			Standard Update Value
44	SUV Nodule 6	cect6su	text	1			Standard Update Value
45	SUV Nodule 7	cect7su	text	1			Standard Update Value
46	SUV Nodule 8	cect8su	text	1			Standard Update Value
47	SUV Nodule 9	cect9su	text	1			Standard Update Value
48	SUV Nodule 10	cect10su	text	1			Standard Update Value
49	CT Series Number Nodule 1	cect1sn	text	1			CT Series Number
50	CT Series Number Nodule 2	cect2sn	text	1			CT Series Number
51	CT Series Number Nodule 3	cect3sn	text	1			CT Series Number
52	CT Series Number Nodule 4	cect4sn	text	1			CT Series Number
53	CT Series Number Nodule 5	cect5sn	text	1			CT Series Number
54	CT Series Number Nodule 6	cect6sn	text	1			CT Series Number
55	CT Series Number Nodule 7	cect7sn	text	1			CT Series Number
56	CT Series Number Nodule 8	cect8sn	text	1			CT Series Number
57	CT Series Number Nodule 9	cect9sn	text	1			CT Series Number
58	CT Series Number Nodule 10	cect10sn	text	1			CT Series Number
59	Nodule seen in images CT number LOW Nodule 1	cect1inl	text	1			CT Image Number (Low)
60	Nodule seen in images CT number HIGH Nodule 1	cect1inh	text	1			CT Image Number (High)
61	Nodule seen in images CT number LOW Nodule 2	cect2inl	text	1			CT Image Number (Low)
62	Nodule seen in images CT number HIGH Nodule 2	cect2inh	text	1			CT Image Number (High)
63	Nodule seen in images CT number LOW Nodule 3	cect3inl	text	1			CT Image Number (Low)
64	Nodule seen in images CT number HIGH Nodule 3	cect3inh	text	1			CT Image Number (High)
65	Nodule seen in images CT number LOW Nodule 4	cect4inl	text	1			CT Image Number (Low)
66	Nodule seen in images CT number HIGH Nodule 4	cect4inh	text	1			CT Image Number (High)
67	Nodule seen in images CT number LOW Nodule 5	cect5inl	text	1			CT Image Number (Low)
68	Nodule seen in images CT number HIGH Nodule 5	cect5inh	text	1			CT Image Number (High)
69	Nodule seen in images CT number LOW Nodule 6	cect6inl	text	1			CT Image Number (Low)
70	Nodule seen in images CT number HIGH Nodule 6	cect6inh	text	1			CT Image Number (High)
71	Nodule seen in images CT number LOW Nodule 7	cect7inl	text	1			CT Image Number (Low)
72	Nodule seen in images CT number HIGH Nodule 7	cect7inh	text	1			CT Image Number (High)
73	Nodule seen in images CT number LOW Nodule 8	cect8inl	text	1			CT Image Number (Low)
74	Nodule seen in images CT number HIGH Nodule 8	cect8inh	text	1			CT Image Number (High)
75	Nodule seen in images CT number LOW Nodule 9	cect9inl	text	1			CT Image Number (Low)
76	Nodule seen in images CT number HIGH Nodule 9	cect9inh	text	1			CT Image Number (High)
77	Nodule seen in images CT number LOW Nodule 10	cect10inl	text	1			CT Image Number (Low)
78	Nodule seen in images CT number HIGH Nodule 10	cect10inh	text	1			CT Image Number (High)
